fund_name,report_date,security_name,security_type,country_iso3,sector,shares,principal,market_value
BlackRock International Fund,"August 31, 2025",Other Assets Less Liabilities—,Money Market Fund,USA,,0.0,,3.0
BlackRock International Fund,"August 31, 2025",Net Assets—,Money Market Fund,USA,,100.0,,0.0
BlackRock International Fund,"August 31, 2025",BNM,Money Market Fund,USA,,1025.0,,4928972.0
BlackRock International Fund,"August 31, 2025",Affiliated Issuer,Money Market Fund,,,5.0,,31.0
BlackRock International Fund,"August 31, 2025",Institutional Shares................... $,Money Market Fund,,,9597371.0,,7300642.0
BlackRock International Fund,"August 31, 2025",• Level,Money Market Fund,,,2.0,,1.0
BlackRock International Fund,"August 31, 2025",ed August,Common Stock,,,312025.0,,2.0
BlackRock International Fund,"August 31, 2025",(Loss) (Depreciation),Common Stock,,,8.0,,31.0
BlackRock International Fund,"August 31, 2025",(a) $ — $ — $,Common Stock,,,2296729.0,,2296729.0
BlackRock International Fund,"August 31, 2025",Level,Common Stock,,,1.0,,2.0
BlackRock International Fund,"August 31, 2025",BNM,Common Stock,,,1025.0,,4928972.0
BlackRock International Fund,"August 31, 2025",Level,Money Market Fund,,,1.0,,2.0
BlackRock International Fund,"August 31, 2025",BNM,Money Market Fund,,,1025.0,,4928972.0
